year,cause_group,age_group,deaths,source
2022,19- Tumores de comportamiento incierto o desconocidos,col_8,0,INEC_CR_2022_C4
2022,19- Tumores de comportamiento incierto o desconocidos,col_9,0,INEC_CR_2022_C4
2022,19- Tumores de comportamiento incierto o desconocidos,col_10,0,INEC_CR_2022_C4
2022,19- Tumores de comportamiento incierto o desconocidos,col_11,0,INEC_CR_2022_C4
2022,20- Enfermedades de las glándulas endocrinas y metabólicas,col_1,2294,INEC_CR_2022_C4
2022,20- Enfermedades de las glándulas endocrinas y metabólicas,Menos de,1,INEC_CR_2022_C4
2022,20- Enfermedades de las glándulas endocrinas y metabólicas,1 - 14,9,INEC_CR_2022_C4
2022,20- Enfermedades de las glándulas endocrinas y metabólicas,15 - 64,509,INEC_CR_2022_C4
2022,20- Enfermedades de las glándulas endocrinas y metabólicas,65 años,1773,INEC_CR_2022_C4
2022,20- Enfermedades de las glándulas endocrinas y metabólicas,Ignorada,2,INEC_CR_2022_C4
2022,20- Enfermedades de las glándulas endocrinas y metabólicas,col_7,0,INEC_CR_2022_C4
2022,20- Enfermedades de las glándulas endocrinas y metabólicas,col_8,0,INEC_CR_2022_C4
2022,20- Enfermedades de las glándulas endocrinas y metabólicas,col_9,0,INEC_CR_2022_C4
2022,20- Enfermedades de las glándulas endocrinas y metabólicas,col_10,0,INEC_CR_2022_C4
2022,20- Enfermedades de las glándulas endocrinas y metabólicas,col_11,0,INEC_CR_2022_C4
2022,21- Deficiencia de la nutrición,col_1,164,INEC_CR_2022_C4
2022,21- Deficiencia de la nutrición,Menos de,0,INEC_CR_2022_C4
2022,21- Deficiencia de la nutrición,1 - 14,1,INEC_CR_2022_C4
2022,21- Deficiencia de la nutrición,15 - 64,73,INEC_CR_2022_C4
2022,21- Deficiencia de la nutrición,65 años,89,INEC_CR_2022_C4
2022,21- Deficiencia de la nutrición,Ignorada,1,INEC_CR_2022_C4
2022,21- Deficiencia de la nutrición,col_7,0,INEC_CR_2022_C4
2022,21- Deficiencia de la nutrición,col_8,0,INEC_CR_2022_C4
2022,21- Deficiencia de la nutrición,col_9,0,INEC_CR_2022_C4
2022,21- Deficiencia de la nutrición,col_10,0,INEC_CR_2022_C4
2022,21- Deficiencia de la nutrición,col_11,0,INEC_CR_2022_C4
2022,"22- Enfermedades de la sangre, de los órganos hematopoyéticos y ciertos trastornos que afectan el mecanismo de la inmunidad",col_1,144,INEC_CR_2022_C4
2022,"22- Enfermedades de la sangre, de los órganos hematopoyéticos y ciertos trastornos que afectan el mecanismo de la inmunidad",Menos de,1,INEC_CR_2022_C4
2022,"22- Enfermedades de la sangre, de los órganos hematopoyéticos y ciertos trastornos que afectan el mecanismo de la inmunidad",1 - 14,0,INEC_CR_2022_C4
2022,"22- Enfermedades de la sangre, de los órganos hematopoyéticos y ciertos trastornos que afectan el mecanismo de la inmunidad",15 - 64,42,INEC_CR_2022_C4
2022,"22- Enfermedades de la sangre, de los órganos hematopoyéticos y ciertos trastornos que afectan el mecanismo de la inmunidad",65 años,101,INEC_CR_2022_C4
2022,"22- Enfermedades de la sangre, de los órganos hematopoyéticos y ciertos trastornos que afectan el mecanismo de la inmunidad",Ignorada,0,INEC_CR_2022_C4
2022,"22- Enfermedades de la sangre, de los órganos hematopoyéticos y ciertos trastornos que afectan el mecanismo de la inmunidad",col_7,0,INEC_CR_2022_C4
2022,"22- Enfermedades de la sangre, de los órganos hematopoyéticos y ciertos trastornos que afectan el mecanismo de la inmunidad",col_8,0,INEC_CR_2022_C4
2022,"22- Enfermedades de la sangre, de los órganos hematopoyéticos y ciertos trastornos que afectan el mecanismo de la inmunidad",col_9,0,INEC_CR_2022_C4
2022,"22- Enfermedades de la sangre, de los órganos hematopoyéticos y ciertos trastornos que afectan el mecanismo de la inmunidad",col_10,0,INEC_CR_2022_C4
2022,"22- Enfermedades de la sangre, de los órganos hematopoyéticos y ciertos trastornos que afectan el mecanismo de la inmunidad",col_11,0,INEC_CR_2022_C4
2022,23- Trastornos mentales y del comportamiento,col_1,855,INEC_CR_2022_C4
2022,23- Trastornos mentales y del comportamiento,Menos de,0,INEC_CR_2022_C4
2022,23- Trastornos mentales y del comportamiento,1 - 14,0,INEC_CR_2022_C4
2022,23- Trastornos mentales y del comportamiento,15 - 64,81,INEC_CR_2022_C4
2022,23- Trastornos mentales y del comportamiento,65 años,774,INEC_CR_2022_C4
2022,23- Trastornos mentales y del comportamiento,Ignorada,0,INEC_CR_2022_C4
2022,23- Trastornos mentales y del comportamiento,col_7,0,INEC_CR_2022_C4
2022,23- Trastornos mentales y del comportamiento,col_8,0,INEC_CR_2022_C4
2022,23- Trastornos mentales y del comportamiento,col_9,0,INEC_CR_2022_C4
2022,23- Trastornos mentales y del comportamiento,col_10,0,INEC_CR_2022_C4
2022,23- Trastornos mentales y del comportamiento,col_11,0,INEC_CR_2022_C4
2022,24- Enfermedades e infecciones virales del sistema nervioso,col_1,1003,INEC_CR_2022_C4
2022,24- Enfermedades e infecciones virales del sistema nervioso,Menos de,6,INEC_CR_2022_C4
2022,24- Enfermedades e infecciones virales del sistema nervioso,1 - 14,33,INEC_CR_2022_C4
2022,24- Enfermedades e infecciones virales del sistema nervioso,15 - 64,305,INEC_CR_2022_C4
2022,24- Enfermedades e infecciones virales del sistema nervioso,65 años,657,INEC_CR_2022_C4
2022,24- Enfermedades e infecciones virales del sistema nervioso,Ignorada,2,INEC_CR_2022_C4
2022,24- Enfermedades e infecciones virales del sistema nervioso,col_7,0,INEC_CR_2022_C4
2022,24- Enfermedades e infecciones virales del sistema nervioso,col_8,0,INEC_CR_2022_C4
2022,24- Enfermedades e infecciones virales del sistema nervioso,col_9,0,INEC_CR_2022_C4
2022,24- Enfermedades e infecciones virales del sistema nervioso,col_10,0,INEC_CR_2022_C4
2022,24- Enfermedades e infecciones virales del sistema nervioso,col_11,0,INEC_CR_2022_C4
2022,26- Enfermedades del oído y de la apófisis mastoides,col_1,2,INEC_CR_2022_C4
2022,26- Enfermedades del oído y de la apófisis mastoides,Menos de,0,INEC_CR_2022_C4
2022,26- Enfermedades del oído y de la apófisis mastoides,1 - 14,0,INEC_CR_2022_C4
2022,26- Enfermedades del oído y de la apófisis mastoides,15 - 64,1,INEC_CR_2022_C4
2022,26- Enfermedades del oído y de la apófisis mastoides,65 años,1,INEC_CR_2022_C4
2022,26- Enfermedades del oído y de la apófisis mastoides,Ignorada,0,INEC_CR_2022_C4
2022,26- Enfermedades del oído y de la apófisis mastoides,col_7,0,INEC_CR_2022_C4
2022,26- Enfermedades del oído y de la apófisis mastoides,col_8,0,INEC_CR_2022_C4
2022,26- Enfermedades del oído y de la apófisis mastoides,col_9,0,INEC_CR_2022_C4
2022,26- Enfermedades del oído y de la apófisis mastoides,col_10,0,INEC_CR_2022_C4
2022,26- Enfermedades del oído y de la apófisis mastoides,col_11,0,INEC_CR_2022_C4
2022,27- Fiebre reumática y otras enfermedades reumáticas del corazón,col_1,22,INEC_CR_2022_C4
2022,27- Fiebre reumática y otras enfermedades reumáticas del corazón,Menos de,0,INEC_CR_2022_C4
2022,27- Fiebre reumática y otras enfermedades reumáticas del corazón,1 - 14,0,INEC_CR_2022_C4
2022,27- Fiebre reumática y otras enfermedades reumáticas del corazón,15 - 64,5,INEC_CR_2022_C4
2022,27- Fiebre reumática y otras enfermedades reumáticas del corazón,65 años,17,INEC_CR_2022_C4
2022,27- Fiebre reumática y otras enfermedades reumáticas del corazón,Ignorada,0,INEC_CR_2022_C4
2022,27- Fiebre reumática y otras enfermedades reumáticas del corazón,col_7,0,INEC_CR_2022_C4
2022,27- Fiebre reumática y otras enfermedades reumáticas del corazón,col_8,0,INEC_CR_2022_C4
2022,27- Fiebre reumática y otras enfermedades reumáticas del corazón,col_9,0,INEC_CR_2022_C4
2022,27- Fiebre reumática y otras enfermedades reumáticas del corazón,col_10,0,INEC_CR_2022_C4
2022,27- Fiebre reumática y otras enfermedades reumáticas del corazón,col_11,0,INEC_CR_2022_C4
2022,28- Enfermedad hipertensiva,col_1,1801,INEC_CR_2022_C4
2022,28- Enfermedad hipertensiva,Menos de,0,INEC_CR_2022_C4
