Código;Sexo;Menores de 1;1;2;3;4;5 a 9;10 a 14;15 a 19;20 a 24;25 a 29;30 a 34;35 a 39;40 a 44;45 a 49;50 a 54;55 a 59;60 a 64;65 a 69;70 a 74;75 a 79;80 a 84;85 y más;No especificada
080;Mujeres;0;0;0;0;0;0;0;3;2;3;2;0;6;5;3;17;24;31;30;27;22;19;0
081;Hombres;2;0;0;0;1;2;2;1;2;3;2;2;5;7;14;19;17;17;33;29;25;68;0
081;Mujeres;1;1;0;0;0;0;2;1;2;4;3;3;6;7;9;13;19;23;25;30;43;65;0
082;Hombres;0;0;0;0;0;0;0;0;2;0;2;4;4;2;0;6;7;4;14;13;10;32;0
082;Mujeres;0;0;0;0;0;0;0;0;0;0;3;1;1;3;4;1;5;6;3;11;11;59;0
083;Hombres;0;0;0;0;0;0;1;0;2;2;1;1;2;0;3;0;4;3;1;3;5;16;0
083;Mujeres;0;0;0;0;0;0;1;1;0;3;1;3;1;6;0;7;4;9;6;10;11;28;0
085;Hombres;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;3;0;4;4;4;7;0
085;Mujeres;0;0;0;0;0;0;1;1;1;0;0;1;0;1;2;0;1;0;2;3;2;3;0
086;Hombres;0;0;0;0;0;2;0;2;2;1;5;5;8;12;25;35;45;64;58;82;84;166;1
086;Mujeres;0;0;0;0;0;0;0;1;0;1;1;4;7;7;7;13;28;34;27;55;64;126;0
092;Hombres;217;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
092;Mujeres;145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
093;Hombres;134;13;2;4;1;8;6;2;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0
093;Mujeres;101;14;5;3;2;6;5;3;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0
094;Hombres;25;4;0;1;0;4;1;1;6;8;8;17;17;15;18;16;20;31;25;38;36;83;2
094;Mujeres;23;3;3;0;0;7;2;1;5;4;0;6;3;4;4;4;4;9;20;7;18;116;0
095;Hombres;4;9;4;3;4;8;24;93;178;168;137;132;113;93;82;72;59;42;42;31;28;29;1
095;Mujeres;0;7;3;6;4;7;18;14;11;23;16;20;11;10;11;9;5;15;9;12;5;31;0
095;Hombres;0;2;1;1;1;2;2;10;30;34;30;27;28;28;17;25;25;17;12;7;7;3;0
095;Mujeres;0;1;0;0;1;3;3;3;5;8;4;9;5;5;3;3;2;6;2;2;0;2;0
095;Hombres;0;0;0;0;0;0;0;0;0;1;2;1;1;0;0;1;0;0;0;0;0;0;0
095;Hombres;0;0;0;0;0;2;3;0;2;3;2;2;2;1;5;7;3;0;1;1;0;6;0
095;Mujeres;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;1;0;0;2;0;2;0
095;Hombres;0;3;3;0;2;1;6;9;10;2;10;4;1;5;7;5;5;3;4;1;1;3;0
095;Mujeres;0;3;2;2;2;1;1;2;0;1;2;0;0;1;0;0;0;1;0;0;0;0;0
095;Hombres;1;0;0;1;0;0;0;0;0;1;1;0;1;0;0;3;1;0;0;1;4;1;0
095;Mujeres;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0
095;Hombres;0;0;0;0;0;0;1;1;2;3;5;2;0;1;2;0;0;0;0;0;0;0;0
095;Mujeres;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
095;Hombres;1;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0
095;Hombres;1;3;0;0;0;0;0;0;1;0;1;1;2;0;0;2;0;1;1;0;0;0;0
095;Mujeres;0;1;0;1;0;0;0;0;0;1;1;1;0;0;3;1;0;1;0;0;0;0;0
095;Hombres;0;0;0;1;1;0;2;1;2;1;2;4;4;2;1;5;2;1;0;4;1;8;0
095;Mujeres;0;1;0;0;0;0;0;1;1;1;0;1;0;0;1;0;0;1;0;4;2;11;0
095;Hombres;0;0;0;0;0;0;0;8;15;7;2;12;11;7;10;8;3;4;6;3;5;4;0
095;Mujeres;0;0;0;0;0;0;3;1;0;1;2;1;0;1;1;0;0;1;1;0;0;1;0
095;Hombres;1;0;0;0;0;1;3;52;78;91;66;61;42;30;18;3;7;3;2;4;3;1;0
095;Mujeres;0;0;0;1;0;1;3;3;4;6;2;7;5;0;0;2;0;1;0;0;1;1;0
095;Hombres;0;1;0;0;0;1;7;12;37;25;16;17;20;19;20;13;13;12;15;10;7;3;1
095;Mujeres;0;0;0;2;1;1;8;4;1;5;5;0;1;3;0;2;2;2;6;3;2;13;0
095;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0
095;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
U00-U85;Hombres;2;2;0;1;0;0;0;0;0;0;1;1;1;0;3;3;4;5;5;13;13;26;0
U00-U85;Mujeres;2;0;0;0;0;0;0;1;1;1;2;0;1;3;1;4;7;3;9;5;10;30;0
U00-U85;Hombres;2;2;0;1;0;0;0;0;0;0;1;1;1;0;3;3;4;4;5;10;13;23;0
U00-U85;Mujeres;2;0;0;0;0;0;0;1;1;1;1;0;1;3;1;4;6;3;9;5;10;28;0
U00-U85;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;3;0
U00-U85;Mujeres;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2;0
